Rang,Artist,Titel,Eintritt,Wochen,Peak,Punkte,Link,Songtext
11,Klangkarussell,Sonnentanz,26.08.2012,87,3,5893,/song/Klangkarussell/Sonnentanz-1055937,"I've walked through the valleys of the wilderness in time,
only to find out that you have love in places I can't describe,
I need you, it's the sunrise

I just wanted to let you know,
I love you, don't ever let go,
cos the sun don't shine when you're not around mine,
singing I can never be without you,
without you

Cos the sun don't shine,
the sun don't shine,
yeah the sun don't shine,
the sun don't shine
without you, without you

Through all the space and time,
your love is mine,
but the sun don't shine,
the sun don't shine,
without you, without you

When I saw you rise the other day,
I felt my worries just seemed to melt away,
into you, yeah into you

I just wanted to let you know,
I love you, don't ever let go,
cos the sun don't shine when you're not around mine,
singing I can never be without you,
without you

Cos the sun don't shine,
the sun don't shine,
yeah the sun don't shine,
the sun don't shine
without you, without you

Through all the space and time,
your love is mine,
but the sun don't shine,
the sun don't shine,
without you, without you"
12,Helene Fischer,Atemlos durch die Nacht,20.10.2013,80,2,5842,/song/Helene-Fischer/Atemlos-durch-die-Nacht-1199079,"Wir zieh'n durch die Straßen und die Clubs dieser Stadt
Das ist unsre' Nacht, wie für uns beide gemacht, oho oho
Ich schließe meine Augen, lösche jedes Tabu
Küsse auf der Haut, so wie ein Liebes-Tattoo, oho, oho.
Was das zwischen uns auch ist, Bilder die man nie vergisst
Und dein Blick hat mir gezeigt, das ist unsre' Zeit

Atemlos durch die Nacht
Bis ein neuer Tag erwacht
Atemlos einfach raus
Deine Augen zieh'n mich aus!
Atemlos durch die Nacht
Spür' was Liebe mit uns macht
Atemlos, schwindelfrei, großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit Dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm nimm' meine Hand und geh' mit mir

Komm wir steigen auf das höchste Dach dieser Welt
Halten einfach fest was uns zusammen hält, oho, oho
Bist du richtig süchtig, Haut an Haut ganz berauscht
Fall in meine Arme und der Fallschirm geht auf, oho, oho.
Alles was ich will, ist da, große Freiheit pur, ganz nah
Nein wir wollen hier nicht weg, alles ist perfekt

Atemlos durch die Nacht
Spür' was Liebe mit uns macht
Atemlos, schwindelfrei, großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit Dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm nimm' meine Hand und geh' mit mir
Atemlos

Lust pulsiert auf meiner Haut
Atemlos durch die Nacht
Spür' was Liebe mit uns macht
Atemlos, schwindelfrei, großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit Dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm nimm' meine Hand und geh' mit mir
Atemlos"
13,Gossip,Heavy Cross,21.06.2009,80,2,5774,/song/Gossip/Heavy-Cross-577299,"Oooh oooh ooh hooo
Oooh oooh ooh oooh
Oooh oooh ooh hooo
Hooo oooh ooh hooo

It's a cruel cruel world
To face on your own
A heavy cross
To carry along
The lights are on
But everyone's gone
And it's cruel

It's a funny way
To make ends meet
When the lights are out
On every street
It feels alright
But never complete
Without joy

I checked you
If it's already been done
Undo it
It takes two
It's up to me and you
To prove it

On the rainy nights
Even the coldest days
You're moments ago
But seconds away
The principle of nature
It's true but
It's a cruel world

Oooh ooh oooh ooh hooo
Oooh ooh oooh ooh hooo
Oooh ooh oooh ooh hooo
Oh hoo woah

We can play it safe
Or play it cool
Follow the leader
Or make up all the rules
Whatever you want
The choice is yours
So choose

I checked you
If it's already been done
Undo it
It takes two
And it's up to me and you
To prove it

Ah ah ah eh aye aye
Oh eh oh oh
Yeah oh oh

Ah ah ah eh ah aye
Oh oh oh
Yeah oh
Yeah oh
Yeah oh

I trust you
It's already been done
Undo it
It takes two
It's up to me and you
To prove it

Ah ah aye
Oh hoo woah
Yeah eh

Ah ah ah ah aye
Oh-hoo woah
Yeah oh
Yeah eh
Yeah oh

I checked you
If it's already been done
Undo it
It takes two
And it's up to me and you
To prove it

Ah ah ah ah aye
Oh-hoo woh
Yeah oh oh

Ah ah aye
Oh-hoo woh
Yeah oh
Yeah eh
Yeah oh

I trust you"
14,Pharrell Williams,Happy,08.12.2013,80,1,5663,/song/Pharrell-Williams/Happy-1150412,"It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care baby by the way

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

Here come bad news talking this and that [(yeah)]
Give me all you got, don't hold back [(yeah)]
Well I should probably warn you I'll be just fine [(yeah)]
No offense to you don't waste your time
Here's why

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

[(Happy)] bring me down, can't nothin'
[(Happy)] bring me down, your love is too high
[(Happy)] to bring me down, can't nothin'
[(Happy)] bring me down, I said tell you now

[(Happy)] bring me down, can't nothin'
[(Happy)] bring me down, your love is too high
[(Happy)] to bring me down, can't nothin'
[(Happy)] bring me down, I said

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you
Because I'm happy
Clap along if you feel like that's what you wanna do

[(Happy)] bring me down, can't nothin'
[(Happy)] bring me down, your love is too high
[(Happy)] to bring me down, can't nothin'
[(Happy)] bring me down, I said

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you, eh eh eh
Because I'm happy
Clap along if you feel like that's what you want to do

Because I'm happy
Clap along if you feel like a room without a roof
Because I'm happy
Clap along if you feel like happiness is the truth

Because I'm happy
Clap along if you know what happiness is to you, hey
Because I'm happy
Clap along if you feel like that's what you wanna do"
15,Adele,Someone Like You,05.06.2011,95,1,5627,/song/Adele/Someone-Like-You-792468,"I heard that you're settled down
That you found a girl
And you're married now (ow ow)
I heard that your dreams came true
Guess she gave you things
I didn't give to you ooh ooh
Old friend why are you so shy I
Ain't like you to hold back
Or hide from the light
I hate to turn up out of the blue uninvited but
I couldn't stay away I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me it isn't over
Never mind I'll find someone like you
I wish nothing but the best for you too!
Don't forget me I beg I'll remember you said
Sometimes it lasts in love but sometimes it hurts instead
Sometimes it lasts in love but sometimes it hurts instead, yeah
You know how the time flies
Only yesterday was the time of our lives
We were born and raised
In a summer haze
Bound by the surprise of our glory days
I hate to turn up out of the blue uninvited but
I couldn't stay away I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me it isn't over yet
Never mind I find someone like you
I wish nothing but the best for you too!
Don't forget me I beg I'll remember you said
Sometimes it lasts in love but sometimes it hurts instead yeah
Nothing compares
No worries or cares
Regrets and mistakes they're memories made
Who would have known how bitter-sweet this would taste
Never mind I'll find someone like you
I wish nothing but the best for you too!
Don't forget me I beg I'll remember you said
Sometimes it lasts in love but sometimes it hurts instead
Never mind I'll find someone like you
I wish nothing but the best for you too
Don't forget me I beg I'll remember you said
Sometimes it lasts in love but sometimes it hurts instead
Sometimes it lasts in love but
sometimes it hurts instead, yeah-ae yeah-ae"
16,Lady Gaga,Poker Face,11.01.2009,72,1,5562,/song/Lady-Gaga/Poker-Face-500112,"I wanna hold em like they do in Texas Plays
Fold em let em hit me raise it baby stay with me, I love it
Luck and intuition play the cards with Spades to start
And after he's been hooked I'll play the one that's on his heart

Oh, oh, oh
I'll get him hot, show him what I've got
Oh, oh, oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)

P-p-p-poker face, p-p-poker face
(Mum mum mum mah)
P-p-p-poker face, p-p-poker face
(Mum mum mum mah)

I wanna roll with him a hard pair we will be
A little gambling is fun when you're with me, I love it
Russian Roulette is not the same without a gun
And baby when it's love if it's not rough it isn't fun, fun

Oh, oh, oh
I'll get him hot, show him what I've got
Oh, oh, oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)

P-p-p-poker face, p-p-poker face
(Mum mum mum mah)
P-p-p-poker face, p-p-poker face
(Mum mum mum mah)
(Mum mum mum mah)
(Mum mum mum mah)

I won't tell you that I love you
Kiss or hug you
Cause I'm bluffin' with my muffin
I'm not lying I'm just stunnin' with my love-glue-gunning

Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand cause I'm marvelous

Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)

Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)

Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got to love nobody)

P-p-p-poker face, p-p-poker face
P-p-p-poker face, p-p-poker face
(She's got to love nobody)

P-p-p-poker face, p-p-poker face
(Mum mum mum mah)
P-p-p-poker face, p-p-poker face
(Mum mum mum mah)

P-p-p-poker face, p-p-poker face
(Mum mum mum mah)
P-p-p-poker face, p-p-poker face
(Mum mum mum mah)"
17,Timbaland Presents OneRepublic,Apologize,04.11.2007,89,1,5536,/song/Timbaland-Presents-OneRepublic/Apologize-303692,"I'm holding on your rope
Got me ten feet off the ground
And I'm hearing what you say
But I just can't make a sound

You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around and say

That it's too late to apologize, it's too late
I said it's too late to apologize, it's too late
Too late, oh

I'd take another chance, take a fall
Take a shot for you
And I need you like a heart needs a beat
But it's nothing new, yeah yeah

I loved you with a fire red, now it's turning blue
And you say sorry like the angel
Heaven let me think was you
But I'm afraid

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late, whoa whoa

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I said it's too late to apologize, yeah, too late
I said it's too late to apologize, yeah, too late

I'm holding on your rope
Got me ten feet off the ground"
18,Alan Walker,Faded,17.01.2016,86,1,5495,/song/Alan-Walker/Faded-1505014,"You were the shadow to my light
Did you feel us?
Another star
You fade away
Afraid our aim is out of sight
Wanna see us
Alight

Where are you now?
Where are you now?
Where are you now?

Was it all in my fantasy?
Where are you now?
Were you only imaginary?
Where are you now?

Atlantis
Under the sea, under the sea
Where are you now?
Another dream
The monster's running wild inside of me

I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded

These shallow waters never met
What I needed
I'm letting go
A deeper dive
Eternal silence of the sea
I'm breathing
Alive

Where are you now?
Where are you now?

Under the bright
But faded lights
You set my heart on fire
Where are you now?
Where are you now?

Where are you now?

Atlantis
Under the sea, under the sea
Where are you now?
Another dream
The monster's running wild inside of me

I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded"
19,Passenger,Let Her Go,03.03.2013,88,1,5365,/song/Passenger/Let-Her-Go-995382,"Well, you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go

Staring at the bottom of your glass
Hoping one day you'll make a dream last
But dreams come slow, and they go so fast

You see her when you close your eyes
Maybe one day you'll understand why
Everything you touch surely dies

But you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go

Staring at the ceiling in the dark
Same old empty feeling in your heart
'Cause love comes slow, and it goes so fast

Well, you see her when you fall asleep
But never to touch and never to keep
'Cause you loved her too much, and you dived too deep

Well, you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go

And you let her go
And you let her go
Well, you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go"
20,Baschi,Bring en hei,28.05.2006,100,1,5356,/song/Baschi/Bring-en-hei-193080,"Chum bring en hei, chum bring en
Chum bring en hei, chum bring en
Chum bring en hei, zu mir...
(1, 2, 3, 4, 5, 6, 7, 11)
S'ganze Lebe nume für 90 Minute
Es wartet alles nur uf di
Das isch mini Mannschaft
Das sind mini Helde
I leb mis Lebe für's Spiel

Bitte Herr im Himmel gib eus Kraft und lo eus ned lo schtoh
Stürmer chum drück scho ab und schenk eus no es Goal

Chum bring en hei, chum bring en
Chum bring en hei, chum bring en
Chum bring en hei, zu mir...

All si am schreie
All si am gumpe
Mir sind d' Legände vo morn
Nume no e blinde Schiri chan eus no schtoppe
Schiri, i weiss wo dis Auto schtooht

Bitte Herr im Himmel gib eus Kraft und lo eus ned lo schtoh
Stürmer chum drück scho ab und schenk eus no es Goal

Chum bring en hei...

Es Gschänk vom Himmel
Wänn du am Ball bisch
Ängel singe
Es wird fantastisch

Es Gschänk vom Himmel
Wänn du am Ball bisch
Und Ängel singe
Es wird fantastisch

Chum bring en hei."
21,David Guetta feat. Akon,Sexy Bitch,09.08.2009,77,2,5286,/song/David-Guetta-feat.-Akon/Sexy-Bitch-600196,"Yes, I can see her
'Cause every girl in here wanna be her
Oh, she's a diva
I feel the same, and I wanna meet her

They say she low down
It's just a rumor, and I don't believe 'em
They say she needs to slow down
The baddest thing around town

She's nothing like a girl you've ever seen before
Nothing you can compare to your neighborhood hoe
I'm tryna find the words to describe this girl
Without being disrespectful

The way that booty movin', I can't take no more
Have to stop what I'm doin' so I can pull up close
I'm tryna find the words to describe this girl
Without being disrespectful

Damn, girl
Damn, you's a sexy bitch, a sexy bitch
Damn, you's a sexy bitch, damn, girl
Damn, you's a sexy bitch, a sexy bitch
Damn, you's a sexy bitch, damn, girl

Yes I can see her
'Cause every girl in here wanna be her
Oh, she's a diva
I feel the same, and I wanna meet her

They say she low down
It's just a rumor and I don't believe 'em
They say she needs to slow down
The baddest thing around town

She's nothing like a girl you've ever seen before
Nothing you can compare to your neighborhood hoe
I'm tryna find the words to describe this girl
Without being disrespectful

The way that booty movin', I can't take no more
Have to stop what I'm doin' so I can pull up close
I'm tryna find the words to describe this girl
Without being disrespectful

Damn, girl
Damn, you's a sexy bitch, a sexy bitch
Damn, you's a sexy bitch, damn, girl
Damn, you's a sexy bitch, a sexy bitch
Damn, you's a sexy bitch, damn girl

Damn, you's a sexy bitch, a sexy bitch
Damn, you's a sexy bitch, damn, girl
Damn, you's a sexy bitch, a sexy bitch
Damn, you's a sexy bitch, damn, you's a sexy bitch"
22,Amy Winehouse,Rehab,18.03.2007,88,11,5213,/song/Amy-Winehouse/Rehab-253041,"They tried to make me go to rehab
I said no, no, no
Yes I've been black but when I come back
You'll know, know, know
I ain't got the time
And if my daddy thinks I'm fine
Just try to make me go to rehab
I won't go, go, go

I'd rather be at home with Ray
I ain't got seventy days
'Cause there's nothing, there's nothing you can teach me
That I can't learn from Mr. Hathaway

I didn't get a lot in class
But I know it don't come in a shot glass

They tried to make me go to rehab
I said no, no, no
Yes I've been black but when I come back
You'll know, know, know
I ain't got the time
And if my daddy thinks I'm fine
Just try to make me go to rehab
I won't go, go, go

The man said ""Why you think you here?""
I said ""I got no idea""
I'm gonna, I'm gonna lose my baby
So I always keep a bottle near

He said ""I just think you're depressed""
This me, yeah baby, and the rest

They tried to make me go to rehab
I said no, no, no
Yes I've been black but when I come back
You'll know, know, know

I don't ever want to drink again
I just, ooh I just need a friend
I'm not gonna spend ten weeks
And have everyone think I'm on the mend

And it's not just my pride
It's just 'til these tears have dried

They tried to make me go to rehab
I said no, no, no
Yes I've been black but when I come back
You'll know, know, know
I ain't got the time
And if my daddy thinks I'm fine
Just try to make me go to rehab
I won't go, go, go"
23,Major Lazer & DJ Snake feat. MØ,Lean On,29.03.2015,65,1,5158,/song/Major-Lazer-&-DJ-Snake-feat.-MOe/Lean-On-1397528,"Do you recall, not long ago
We would walk on the sidewalk?
Innocent, remember?
All we did was care for each other

But the night was warm
We were bold and young
All around the wind blows
We would only hold on to let go

Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

What will we do when we get old?
Will we walk down the same road?
Will you be there by my side?
Standing strong as the waves roll over

When the nights are long
Longing for you to come home
All around the wind blows
We would only hold on to let go

Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

All we need is somebody to lean on
All we need is somebody to lean on
Lean on, lean on, lean on, lean on...

Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on"
24,Lilly Wood & The Prick and Robin Schulz,Prayer In C (Robin Schulz Remix),15.06.2014,68,1,5156,/song/Lilly-Wood-&-The-Prick-and-Robin-Schulz/Prayer-In-C-(Robin-Schulz-Remix)-1291808,"Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you

See our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

Yeah, our hands will get more wrinkled
And our hair will be grey
Don't think I could forgive you

And see the children are starving
And their houses were destroyed
Don't think they could forgive you

Hey, when seas will cover lands
And when men will be no more
Don't think you can forgive you

Yeah when there'll just be silence
And when life will be over
Don't think you will forgive you

Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you

See our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

Yeah, our hands will get more wrinkled
And our hair will be grey
Don't think I could forgive you

And see the children are starving
And their houses were destroyed
Don't think they could forgive you

Hey, when seas will cover lands
And when men will be no more
Don't think you can forgive you

Yeah when there'll just be silence
And when life will be over
Don't think you will forgive you"
25,Ed Sheeran,Perfect,12.03.2017,57,1,5114,/song/Ed-Sheeran/Perfect-1637377,"I found a love
For me
Darling, just dive right in
Follow my lead

Well, I found a girl
Beautiful and sweet
Oh, I never knew you were the someone
Waiting for me

'Cause we were just kids when we
Fell in love
Not knowing what it was
I will not give you up this
Ti-i-i-ime

Darling, just kiss me slow
Your heart is all I own
And in your eyes you're holding
Mine

Baby, I'm
Dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favorite song
When you said you looked a mess
I whispered underneath my breath
But you heard it
Darling you look perfect tonight

Darling you look perfect tonight

Well I found a woman
Stronger than anyone I know
She shares my dreams, I hope that someday
I'll share her ho-oh-ome

I found a love
To carry more than just my secrets
To carry love, to carry children
Of our own

We are still kids, but we're
So in love
Fighting against all odds
I know we'll be alright
This ti-i-i-ime

Darling, just hold my hand
Be my girl, I'll be your man
I see my future in
Your eyes

Baby, I'm
Dancing in the dark
With you between my arms
Barefoot on the grass
Listening to our favorite song
I have faith in what I see
Now I know I have met
An angel in person
And she looks perfect tonight

Darling you look perfect tonight"
26,James Blunt,You're Beautiful,21.08.2005,97,2,5057,/song/James-Blunt/You're-Beautiful-115872,"My life is brilliant.

My life is brilliant.
My love is pure.
I saw an angel.
Of that I'm sure.
She smiled me on the subway.
She was with another man.
But I won't lose no sleep on that,
'Cause I've got a plan.

You're beautiful, You're beautiful,
You're beautiful, it's true.
I saw your face in a crowded place,
And I don't know what to do,
'Cause I'll never be with you.

Yes, she caught my eye,
As I walked on by.
She could see from my face that I was,
Flying high,
And I don't think that I'll see her again,
But we shared a moment that will last till the end.

You're beautiful, You're beautiful,
You're beautiful, it's true,
I saw your face in a crowded place,
And I don't know what to do,
'Cause I'll never be with you.

You're beautiful. You're beautiful.
You're beautiful, it's true.
There must be an angel with a smile on her face,
When she thought up that I should be with you.
But it's time to face the truth,
I will never be with you."
27,Mika,Relax (Take It Easy),04.03.2007,75,2,4969,/song/Mika/Relax-(Take-It-Easy)-267008,"Took a ride to the end of the line
Where no one ever goes
Ended up on a broken train with nobody I know
But the pain and the longing's the same
When you're dying
Now I'm lost and I'm screaming for help alone

Relax, take it easy
For there is nothing that we can do
Relax, take it easy
Blame it on me or blame it on you

It's as if I'm scared
It's as if I'm terrified
It's as if I'm scared
It's as if I'm playing with fire
Scared
It's as if I'm terrified
Are you scared?
Are we playing with fire?

Relax
There is an answer to the darkest times
It's clear
We don't understand it but the last thing on my mind
Is to leave you
I believe that we're in this together
Don't scream, there are so many roads left

Relax, take it easy
For there is nothing that we can do
Relax, take it easy
Blame it on me or blame it on you

Relax, take it easy
For there is nothing that we can do
Relax, take it easy
Blame it on me or blame it on you

Relax, take it easy
For there is nothing that we can do
Relax, take it easy
Blame it on me or blame it on you

Relax, take it easy
For there is nothing that we can do
Relax, take it easy
Blame it on me or blame it on you
(Relax)

It's as if I'm scared
It's as if I'm terrified
It's as if I'm scared
It's as if I'm playing with fire
(Relax) Scared
It's as if I'm terrified
Are you scared?
Are we playing with fire?

Relax
Relax"
28,77 Bombay Street,Up In The Sky,24.04.2011,82,7,4955,/song/77-Bombay-Street/Up-In-The-Sky-804259,"Up in the sky, there is a village
And the people there are blue, I believe it's true
Up in the sky, people are happy
They love to sing and there is no need for a king

Up in the sky, nothing is insane
Like a rocket driven plane you can fly above the rain
Up in the sky, you just feel fine
There is no running out of time and you never cross a line

I never want to die
I wanna live in the sky

Up in the sky, you can fly
You will make it if you try
In the sky you are far away

Up in the sky you can sing
And you can do everything
And no matter what they say it's true
I'm going to the blue

Up in the sky, there's no religion
There are no cars and no phones and you can't not be controlled
Up in the sky, you just feel fine
There is no money making crime but a lot of good wine

I never want to die
I wanna live in the sky

Up in the sky, you can fly
You will make it if you try
In the sky you are far away

Up in the sky you can sing
And you can do everything
And no matter what they say it's true
I'm going to the blue

I'm going to the blue
Into the blue

Wanna live up in the sky
Wanna live up in the sky
Wanna live up in the sky
Wanna live up in the sky
Up in the sky

Up in the sky, you can fly
You will make it if you try
In the sky you are far away

Up in the sky you can sing
And you can do everything
And no matter what they say it's true
I'm going to the blue

Up in the sky
Up in the sky"
29,Avicii,Wake Me Up!,30.06.2013,68,1,4894,/song/Avicii/Wake-Me-Up!-1150611,"Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start

They tell me I'm too young to understand
They say I'm caught up in a dream
Life will pass me by if I don't open up my eyes
Well, that's fine by me

So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was finding myself, and I
Didn't know I was lost

So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was finding myself, and I
Didn't know I was lost

I tried carrying the weight of the world
But I only have two hands
Hope I get the chance to travel the world
But I don't have any plans

Wish that I could stay forever this young
Not afraid to close my eyes
Life's a game made for everyone
And love is the prize

So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was finding myself, and I
Didn't know I was lost

So wake me up when it's all over
When I'm wiser and I'm older
All this time, I was finding myself, and I
Didn't know I was lost

I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know, I didn't know, I didn't know"
30,Hozier,Take Me To Church,28.09.2014,68,1,4858,/song/Hozier/Take-Me-To-Church-1200169,"My lover's got humour
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshipped her sooner
If the heavens ever did speak

She's the last true mouthpiece
Every Sunday's gettin' more bleak
A fresh poison each week
We were born sick
You heard them say it

My church offers no absolutes
She tells me, worship in the bedroom
The only heaven I'll be sent to
Is when I'm alone with you
I was born sick, but I love it
Command me to be well
A-amen, amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

If I'm a pagan of the good times
My lover's the sunlight
To keep the Goddess on my side
She demands a sacrifice
Drain the whole sea
Get something shiny

Something meaty for the main course
That's a fine-looking high horse
What you got in the stable?
We've a lot of starving faithful

That looks tasty
That looks plenty
This is hungry work
Take me to church
I'll worship like a dog at the shrine of your lies

I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human
Only then I am clean
Oh, oh, amen, amen, amen

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins, and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life"
31,Enrique Iglesias feat. Descemer Bueno / Gente De Zona,Bailando,11.05.2014,73,4,4836,/song/Enrique-Iglesias-feat.-Descemer-Bueno-_-Gente-De-Zona/Bailando-1263049,"Yo te miro y se me corta la respiración
Cuando tú me miras, se me sube el corazón
(Me palpita lento el corazón)
Y en un silencio, tu mirada dice mil palabras
La noche en la que te suplico que no salga el sol

Bailando, bailando, bailando, bailando
Tu cuerpo y el mío llenando el vacío
Subiendo y bajando
Bailando, bailando, bailando, bailando
Ese fuego por dentro me va enloqueciendo
Me va saturando

Con tu física y tu química, también tu anatomía
La cerveza y el tequila, y tu boca con la mía
Ya no puedo más
Ya no puedo más

Con esta melodía, tu color, tu fantasía
Con tu filosofía mi cabeza está vacía
Y ya no puedo más
Ya no puedo más

Yo quiero estar contigo
Vivir contigo, bailar contigo
Tener contigo una noche loca
Ay, besar tu boca

Yo quiero estar contigo
Vivir contigo, bailar contigo
Tener contigo una noche loca
Con tremenda nota

Tú me miras y me llevas a otra dimensión
(Estoy en otra dimensión)
Tus latidos aceleran a mi corazón
Qué ironía del destino no poder tocarte
Abrazarte y sentir la magia de tu olor

Bailando, bailando, bailando, bailando
Tu cuerpo y el mío llenando el vacío
Subiendo y bajando
Bailando, bailando, bailando, bailando
Ese fuego por dentro me va enloqueciendo
Me va saturando

Con tu física y tu química, también tu anatomía
La cerveza y el tequila, y tu boca con la mía
Ya no puedo más
Ya no puedo más

Con esta melodía, tu color, tu fantasía
Con tu filosofía mi cabeza está vacía
Y ya no puedo más
Ya no puedo más

Yo quiero estar contigo
Vivir contigo, bailar contigo
Tener contigo una noche loca
Ay, besar tu boca

Yo quiero estar contigo
Vivir contigo, bailar contigo
Tener contigo una noche loca
Con tremenda nota

Bailando, amor
Bailando, amor
Es que se me va el dolor"
