Rang,Artist,Titel,Eintritt,Wochen,Peak,Punkte,Link
84,Robin Schulz feat. Francesco Yates,Sugar,26.07.2015,51,1,4013,/song/Robin-Schulz-feat.-Francesco-Yates/Sugar-1451047
85,Céline Dion,My Heart Will Go On,18.01.1998,49,1,3998,/song/Celine-Dion/My-Heart-Will-Go-On-3595
86,Imagine Dragons,Thunder,07.05.2017,54,2,3993,/song/Imagine-Dragons/Thunder-1656195
87,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,17.04.2011,54,1,3992,/song/LMFAO-feat.-Lauren-Bennett-&-GoonRock/Party-Rock-Anthem-796810
88,Yves Larock,Rise Up,07.10.2007,88,16,3983,/song/Yves-Larock/Rise-Up-335302
89,Alvaro Soler,Sofia,24.04.2016,71,1,3979,/song/Alvaro-Soler/Sofia-1541304
90,Gotye feat. Kimbra,Somebody That I Used To Know,25.12.2011,58,2,3969,/song/Gotye-feat.-Kimbra/Somebody-That-I-Used-To-Know-866033
91,Camila Cabello feat. Young Thug,Havana,20.08.2017,58,2,3955,/song/Camila-Cabello-feat.-Young-Thug/Havana-1682569
92,Die Toten Hosen,Tage wie diese,08.04.2012,62,4,3939,/song/Die-Toten-Hosen/Tage-wie-diese-977738
93,Nelly Furtado,All Good Things (Come To An End),10.12.2006,62,1,3934,/song/Nelly-Furtado/All-Good-Things-(Come-To-An-End)-215754
94,Drake feat. Wizkid & Kyla,One Dance,10.04.2016,51,1,3930,/song/Drake-feat.-Wizkid-&-Kyla/One-Dance-1539291
95,Katy Perry,Hot N Cold,09.11.2008,62,1,3922,/song/Katy-Perry/Hot-N-Cold-464160
96,Nelly Furtado,Maneater,11.06.2006,63,3,3902,/song/Nelly-Furtado/Maneater-182744
97,Jennifer Lopez feat. Pitbull,On The Floor,13.03.2011,51,1,3899,/song/Jennifer-Lopez-feat.-Pitbull/On-The-Floor-792032
98,Shakira feat. Wyclef Jean,Hips Don't Lie,30.04.2006,65,1,3894,/song/Shakira-feat.-Wyclef-Jean/Hips-Don't-Lie-186820
99,Justin Timberlake,Can't Stop The Feeling!,15.05.2016,62,1,3877,/song/Justin-Timberlake/Can't-Stop-The-Feeling!-1548555
100,Flo Rida feat. Ke$ha,Right Round,15.03.2009,59,2,3873,/song/Flo-Rida-feat.-Ke$ha/Right-Round-551828
