Einheit,Zivilstand,Anzahl,Typ
Kloten,Geschieden,1947,Gemeinde
Lufingen,Ledig,879,Gemeinde
Lufingen,Verheiratet,979,Gemeinde
Lufingen,Verwitwet,64,Gemeinde
Lufingen,Geschieden,149,Gemeinde
Nürensdorf,Ledig,2121,Gemeinde
Nürensdorf,Verheiratet,2612,Gemeinde
Nürensdorf,Verwitwet,240,Gemeinde
Nürensdorf,Geschieden,494,Gemeinde
Oberembrach,Ledig,463,Gemeinde
Oberembrach,Verheiratet,486,Gemeinde
Oberembrach,Verwitwet,43,Gemeinde
Oberembrach,Geschieden,87,Gemeinde
Opfikon,Ledig,8653,Gemeinde
Opfikon,Verheiratet,7741,Gemeinde
Opfikon,Verwitwet,643,Gemeinde
Opfikon,Geschieden,1575,Gemeinde
Rafz,Ledig,1779,Gemeinde
Rafz,Verheiratet,2084,Gemeinde
Rafz,Verwitwet,175,Gemeinde
Rafz,Geschieden,306,Gemeinde
Rorbas,Ledig,1215,Gemeinde
Rorbas,Verheiratet,1238,Gemeinde
Rorbas,Verwitwet,83,Gemeinde
Rorbas,Geschieden,207,Gemeinde
Wallisellen,Ledig,6909,Gemeinde
Wallisellen,Verheiratet,6798,Gemeinde
Wallisellen,Verwitwet,659,Gemeinde
Wallisellen,Geschieden,1295,Gemeinde
Wasterkingen,Ledig,211,Gemeinde
Wasterkingen,Verheiratet,282,Gemeinde
Wasterkingen,Verwitwet,29,Gemeinde
Wasterkingen,Geschieden,51,Gemeinde
Wil (ZH),Ledig,540,Gemeinde
Wil (ZH),Verheiratet,676,Gemeinde
Wil (ZH),Verwitwet,67,Gemeinde
Wil (ZH),Geschieden,97,Gemeinde
Winkel,Ledig,1711,Gemeinde
Winkel,Verheiratet,1978,Gemeinde
Winkel,Verwitwet,166,Gemeinde
Winkel,Geschieden,391,Gemeinde
Bezirk Dielsdorf,Ledig,36956,Bezirk
Bezirk Dielsdorf,Verheiratet,39618,Bezirk
Bezirk Dielsdorf,Verwitwet,3263,Bezirk
Bezirk Dielsdorf,Geschieden,7548,Bezirk
Bachs,Ledig,216,Gemeinde
Bachs,Verheiratet,302,Gemeinde
Bachs,Verwitwet,22,Gemeinde
Bachs,Geschieden,45,Gemeinde
Boppelsen,Ledig,561,Gemeinde
Boppelsen,Verheiratet,633,Gemeinde
Boppelsen,Verwitwet,49,Gemeinde
Boppelsen,Geschieden,80,Gemeinde
Buchs (ZH),Ledig,2777,Gemeinde
Buchs (ZH),Verheiratet,2796,Gemeinde
Buchs (ZH),Verwitwet,174,Gemeinde
Buchs (ZH),Geschieden,547,Gemeinde
Dällikon,Ledig,1630,Gemeinde
Dällikon,Verheiratet,1843,Gemeinde
Dällikon,Verwitwet,137,Gemeinde
Dällikon,Geschieden,342,Gemeinde
Dänikon,Ledig,767,Gemeinde
Dänikon,Verheiratet,928,Gemeinde
Dänikon,Verwitwet,48,Gemeinde
Dänikon,Geschieden,147,Gemeinde
Dielsdorf,Ledig,2444,Gemeinde
Dielsdorf,Verheiratet,2721,Gemeinde
Dielsdorf,Verwitwet,240,Gemeinde
Dielsdorf,Geschieden,516,Gemeinde
Hüttikon,Ledig,345,Gemeinde
Hüttikon,Verheiratet,446,Gemeinde
Hüttikon,Verwitwet,30,Gemeinde
Hüttikon,Geschieden,60,Gemeinde
Neerach,Ledig,1151,Gemeinde
Neerach,Verheiratet,1477,Gemeinde
Neerach,Verwitwet,118,Gemeinde
Neerach,Geschieden,301,Gemeinde
Niederglatt,Ledig,2016,Gemeinde
Niederglatt,Verheiratet,2124,Gemeinde
Niederglatt,Verwitwet,193,Gemeinde
Niederglatt,Geschieden,435,Gemeinde
Niederhasli,Ledig,3869,Gemeinde
Niederhasli,Verheiratet,4141,Gemeinde
Niederhasli,Verwitwet,309,Gemeinde
Niederhasli,Geschieden,780,Gemeinde
Niederweningen,Ledig,1217,Gemeinde
Niederweningen,Verheiratet,1348,Gemeinde
Niederweningen,Verwitwet,82,Gemeinde
Niederweningen,Geschieden,206,Gemeinde
Oberglatt,Ledig,3173,Gemeinde
Oberglatt,Verheiratet,2869,Gemeinde
Oberglatt,Verwitwet,179,Gemeinde
Oberglatt,Geschieden,597,Gemeinde
Oberweningen,Ledig,731,Gemeinde
Oberweningen,Verheiratet,871,Gemeinde
Oberweningen,Verwitwet,52,Gemeinde
Oberweningen,Geschieden,145,Gemeinde
Otelfingen,Ledig,1183,Gemeinde
Otelfingen,Verheiratet,1303,Gemeinde
Otelfingen,Verwitwet,100,Gemeinde
Otelfingen,Geschieden,198,Gemeinde
Regensberg,Ledig,185,Gemeinde
Regensberg,Verheiratet,213,Gemeinde
Regensberg,Verwitwet,19,Gemeinde
Regensberg,Geschieden,51,Gemeinde
Regensdorf,Ledig,7595,Gemeinde
Regensdorf,Verheiratet,8090,Gemeinde
Regensdorf,Verwitwet,772,Gemeinde
Regensdorf,Geschieden,1576,Gemeinde
Rümlang,Ledig,3327,Gemeinde
Rümlang,Verheiratet,3411,Gemeinde
Rümlang,Verwitwet,335,Gemeinde
Rümlang,Geschieden,700,Gemeinde
Schleinikon,Ledig,323,Gemeinde
Schleinikon,Verheiratet,309,Gemeinde
Schleinikon,Verwitwet,31,Gemeinde
Schleinikon,Geschieden,59,Gemeinde
Schöfflisdorf,Ledig,528,Gemeinde
Schöfflisdorf,Verheiratet,678,Gemeinde
Schöfflisdorf,Verwitwet,68,Gemeinde
Schöfflisdorf,Geschieden,122,Gemeinde
Stadel,Ledig,923,Gemeinde
Stadel,Verheiratet,980,Gemeinde
Stadel,Verwitwet,89,Gemeinde
Stadel,Geschieden,213,Gemeinde
Steinmaur,Ledig,1444,Gemeinde
Steinmaur,Verheiratet,1514,Gemeinde
Steinmaur,Verwitwet,151,Gemeinde
Steinmaur,Geschieden,286,Gemeinde
Weiach,Ledig,551,Gemeinde
Weiach,Verheiratet,621,Gemeinde
Weiach,Verwitwet,65,Gemeinde
Weiach,Geschieden,142,Gemeinde
Bezirk Hinwil,Ledig,39583,Bezirk
Bezirk Hinwil,Verheiratet,41616,Bezirk
Bezirk Hinwil,Verwitwet,4116,Bezirk
Bezirk Hinwil,Geschieden,7825,Bezirk
Bäretswil,Ledig,2090,Gemeinde
Bäretswil,Verheiratet,2272,Gemeinde
Bäretswil,Verwitwet,192,Gemeinde
Bäretswil,Geschieden,420,Gemeinde
Bubikon,Ledig,2932,Gemeinde
Bubikon,Verheiratet,3274,Gemeinde
Bubikon,Verwitwet,268,Gemeinde
Bubikon,Geschieden,545,Gemeinde
Dürnten,Ledig,3129,Gemeinde
Dürnten,Verheiratet,3416,Gemeinde
Dürnten,Verwitwet,282,Gemeinde
Dürnten,Geschieden,594,Gemeinde
Fischenthal,Ledig,1071,Gemeinde
Fischenthal,Verheiratet,1070,Gemeinde
Fischenthal,Verwitwet,91,Gemeinde
Fischenthal,Geschieden,188,Gemeinde
Gossau (ZH),Ledig,3980,Gemeinde
Gossau (ZH),Verheiratet,4581,Gemeinde
Gossau (ZH),Verwitwet,391,Gemeinde
Gossau (ZH),Geschieden,804,Gemeinde
Grüningen,Ledig,1404,Gemeinde
Grüningen,Verheiratet,1508,Gemeinde
Grüningen,Verwitwet,132,Gemeinde
Grüningen,Geschieden,327,Gemeinde
Hinwil,Ledig,4464,Gemeinde
Hinwil,Verheiratet,4928,Gemeinde
Hinwil,Verwitwet,541,Gemeinde
Hinwil,Geschieden,915,Gemeinde
Rüti (ZH),Ledig,5131,Gemeinde
Rüti (ZH),Verheiratet,5245,Gemeinde
Rüti (ZH),Verwitwet,612,Gemeinde
Rüti (ZH),Geschieden,1059,Gemeinde
Seegräben,Ledig,637,Gemeinde
Seegräben,Verheiratet,664,Gemeinde
Seegräben,Verwitwet,35,Gemeinde
Seegräben,Geschieden,96,Gemeinde
Wald (ZH),Ledig,3943,Gemeinde
Wald (ZH),Verheiratet,4276,Gemeinde
Wald (ZH),Verwitwet,468,Gemeinde
Wald (ZH),Geschieden,759,Gemeinde
Wetzikon (ZH),Ledig,10802,Gemeinde
Wetzikon (ZH),Verheiratet,10382,Gemeinde
Wetzikon (ZH),Verwitwet,1104,Gemeinde
Wetzikon (ZH),Geschieden,2118,Gemeinde
Bezirk Horgen,Ledig,51959,Bezirk
Bezirk Horgen,Verheiratet,54554,Bezirk
Bezirk Horgen,Verwitwet,5793,Bezirk
Bezirk Horgen,Geschieden,10232,Bezirk
Adliswil,Ledig,7928,Gemeinde
Adliswil,Verheiratet,8302,Gemeinde
Adliswil,Verwitwet,870,Gemeinde
Adliswil,Geschieden,1505,Gemeinde
Hirzel,Ledig,909,Gemeinde
Hirzel,Verheiratet,1013,Gemeinde
Hirzel,Verwitwet,99,Gemeinde
Hirzel,Geschieden,127,Gemeinde
Horgen,Ledig,8444,Gemeinde
Horgen,Verheiratet,9100,Gemeinde
Horgen,Verwitwet,1002,Gemeinde
Horgen,Geschieden,1659,Gemeinde
Hütten,Ledig,403,Gemeinde
Hütten,Verheiratet,387,Gemeinde
Hütten,Verwitwet,39,Gemeinde
Hütten,Geschieden,69,Gemeinde
Kilchberg (ZH),Ledig,3581,Gemeinde
Kilchberg (ZH),Verheiratet,3438,Gemeinde
Kilchberg (ZH),Verwitwet,407,Gemeinde
Kilchberg (ZH),Geschieden,669,Gemeinde
Langnau am Albis,Ledig,2980,Gemeinde
Langnau am Albis,Verheiratet,3496,Gemeinde
Langnau am Albis,Verwitwet,392,Gemeinde
Langnau am Albis,Geschieden,584,Gemeinde
Oberrieden,Ledig,2024,Gemeinde
Oberrieden,Verheiratet,2287,Gemeinde
Oberrieden,Verwitwet,283,Gemeinde
Oberrieden,Geschieden,443,Gemeinde
Richterswil,Ledig,5618,Gemeinde
Richterswil,Verheiratet,5917,Gemeinde
Richterswil,Verwitwet,529,Gemeinde
Richterswil,Geschieden,1133,Gemeinde
Rüschlikon,Ledig,2384,Gemeinde
Rüschlikon,Verheiratet,2567,Gemeinde
Rüschlikon,Verwitwet,280,Gemeinde
Rüschlikon,Geschieden,442,Gemeinde
Schönenberg (ZH),Ledig,753,Gemeinde
Schönenberg (ZH),Verheiratet,899,Gemeinde
Schönenberg (ZH),Verwitwet,89,Gemeinde
Schönenberg (ZH),Geschieden,123,Gemeinde
Thalwil,Ledig,7759,Gemeinde
Thalwil,Verheiratet,7685,Gemeinde
Thalwil,Verwitwet,777,Gemeinde
Thalwil,Geschieden,1522,Gemeinde
Wädenswil,Ledig,9176,Gemeinde
Wädenswil,Verheiratet,9463,Gemeinde
Wädenswil,Verwitwet,1026,Gemeinde
Wädenswil,Geschieden,1956,Gemeinde
Bezirk Meilen,Ledig,41416,Bezirk
Bezirk Meilen,Verheiratet,45685,Bezirk
Bezirk Meilen,Verwitwet,5234,Bezirk
Bezirk Meilen,Geschieden,8625,Bezirk
Erlenbach (ZH),Ledig,2337,Gemeinde
Erlenbach (ZH),Verheiratet,2458,Gemeinde
Erlenbach (ZH),Verwitwet,248,Gemeinde
Erlenbach (ZH),Geschieden,427,Gemeinde
Herrliberg,Ledig,2571,Gemeinde
Herrliberg,Verheiratet,2928,Gemeinde
Herrliberg,Verwitwet,299,Gemeinde
Herrliberg,Geschieden,496,Gemeinde
Hombrechtikon,Ledig,3486,Gemeinde
Hombrechtikon,Verheiratet,3842,Gemeinde
Hombrechtikon,Verwitwet,430,Gemeinde
Hombrechtikon,Geschieden,727,Gemeinde
Küsnacht (ZH),Ledig,5651,Gemeinde
Küsnacht (ZH),Verheiratet,6158,Gemeinde
Küsnacht (ZH),Verwitwet,855,Gemeinde
Küsnacht (ZH),Geschieden,1166,Gemeinde
Männedorf,Ledig,4395,Gemeinde
Männedorf,Verheiratet,4793,Gemeinde
Männedorf,Verwitwet,499,Gemeinde
Männedorf,Geschieden,906,Gemeinde
Meilen,Ledig,5509,Gemeinde
Meilen,Verheiratet,6114,Gemeinde
Meilen,Verwitwet,744,Gemeinde
Meilen,Geschieden,1163,Gemeinde
Oetwil am See,Ledig,2022,Gemeinde
Oetwil am See,Verheiratet,2088,Gemeinde
Oetwil am See,Verwitwet,147,Gemeinde
Oetwil am See,Geschieden,411,Gemeinde
Stäfa,Ledig,5685,Gemeinde
Stäfa,Verheiratet,6499,Gemeinde
Stäfa,Verwitwet,699,Gemeinde
Stäfa,Geschieden,1295,Gemeinde
Uetikon am See,Ledig,2446,Gemeinde
Uetikon am See,Verheiratet,2791,Gemeinde
Uetikon am See,Verwitwet,280,Gemeinde
Uetikon am See,Geschieden,471,Gemeinde
Zumikon,Ledig,1971,Gemeinde
Zumikon,Verheiratet,2480,Gemeinde
Zumikon,Verwitwet,290,Gemeinde
Zumikon,Geschieden,431,Gemeinde
Zollikon,Ledig,5343,Gemeinde
Zollikon,Verheiratet,5534,Gemeinde
Zollikon,Verwitwet,743,Gemeinde
Zollikon,Geschieden,1132,Gemeinde
Bezirk Pfäffikon,Ledig,24280,Bezirk
Bezirk Pfäffikon,Verheiratet,27036,Bezirk
Bezirk Pfäffikon,Verwitwet,2556,Bezirk
Bezirk Pfäffikon,Geschieden,4949,Bezirk
Fehraltorf,Ledig,2621,Gemeinde
Fehraltorf,Verheiratet,2905,Gemeinde
Fehraltorf,Verwitwet,220,Gemeinde
Fehraltorf,Geschieden,561,Gemeinde
Hittnau,Ledig,1565,Gemeinde
Hittnau,Verheiratet,1659,Gemeinde
Hittnau,Verwitwet,116,Gemeinde
Hittnau,Geschieden,274,Gemeinde
Illnau-Effretikon,Ledig,6780,Gemeinde
Illnau-Effretikon,Verheiratet,7343,Gemeinde
Illnau-Effretikon,Verwitwet,748,Gemeinde
Illnau-Effretikon,Geschieden,1455,Gemeinde
Kyburg,Ledig,175,Gemeinde
Kyburg,Verheiratet,173,Gemeinde
Kyburg,Verwitwet,21,Gemeinde
Kyburg,Geschieden,38,Gemeinde
Lindau,Ledig,2164,Gemeinde
Lindau,Verheiratet,2608,Gemeinde
Lindau,Verwitwet,216,Gemeinde
Lindau,Geschieden,395,Gemeinde
Pfäffikon,Ledig,4768,Gemeinde
Pfäffikon,Verheiratet,5131,Gemeinde
Pfäffikon,Verwitwet,567,Gemeinde
Pfäffikon,Geschieden,987,Gemeinde
Russikon,Ledig,1693,Gemeinde
Russikon,Verheiratet,2083,Gemeinde
Russikon,Verwitwet,185,Gemeinde
Russikon,Geschieden,331,Gemeinde
Weisslingen,Ledig,1316,Gemeinde
Weisslingen,Verheiratet,1566,Gemeinde
Weisslingen,Verwitwet,130,Gemeinde
Weisslingen,Geschieden,249,Gemeinde
Wila,Ledig,798,Gemeinde
Wila,Verheiratet,857,Gemeinde
Wila,Verwitwet,92,Gemeinde
Wila,Geschieden,184,Gemeinde
Wildberg,Ledig,412,Gemeinde
Wildberg,Verheiratet,455,Gemeinde
Wildberg,Verwitwet,46,Gemeinde
Wildberg,Geschieden,93,Gemeinde
Bauma,Ledig,1988,Gemeinde
Bauma,Verheiratet,2256,Gemeinde
Bauma,Verwitwet,215,Gemeinde
Bauma,Geschieden,382,Gemeinde
Bezirk Uster,Ledig,54930,Bezirk
Bezirk Uster,Verheiratet,56270,Bezirk
Bezirk Uster,Verwitwet,5087,Bezirk
Bezirk Uster,Geschieden,11385,Bezirk
Dübendorf,Ledig,11914,Gemeinde
Dübendorf,Verheiratet,11280,Gemeinde
Dübendorf,Verwitwet,1171,Gemeinde
Dübendorf,Geschieden,2477,Gemeinde
Egg,Ledig,3364,Gemeinde
Egg,Verheiratet,3855,Gemeinde
Egg,Verwitwet,383,Gemeinde
Egg,Geschieden,786,Gemeinde
Fällanden,Ledig,3581,Gemeinde
Fällanden,Verheiratet,3658,Gemeinde
Fällanden,Verwitwet,326,Gemeinde
Fällanden,Geschieden,789,Gemeinde
Greifensee,Ledig,2266,Gemeinde
Greifensee,Verheiratet,2440,Gemeinde
Greifensee,Verwitwet,204,Gemeinde
Greifensee,Geschieden,464,Gemeinde
Maur,Ledig,4052,Gemeinde
Maur,Verheiratet,4596,Gemeinde
Maur,Verwitwet,396,Gemeinde
Maur,Geschieden,845,Gemeinde
Mönchaltorf,Ledig,1433,Gemeinde
Mönchaltorf,Verheiratet,1740,Gemeinde
Mönchaltorf,Verwitwet,153,Gemeinde
Mönchaltorf,Geschieden,351,Gemeinde
Schwerzenbach,Ledig,2207,Gemeinde
Schwerzenbach,Verheiratet,2161,Gemeinde
Schwerzenbach,Verwitwet,200,Gemeinde
Schwerzenbach,Geschieden,433,Gemeinde
Uster,Ledig,15031,Gemeinde
Uster,Verheiratet,14490,Gemeinde
Uster,Verwitwet,1392,Gemeinde
Uster,Geschieden,2973,Gemeinde
Volketswil,Ledig,7796,Gemeinde
Volketswil,Verheiratet,8500,Gemeinde
Volketswil,Verwitwet,628,Gemeinde
Volketswil,Geschieden,1611,Gemeinde
Wangen-Brüttisellen,Ledig,3286,Gemeinde
Wangen-Brüttisellen,Verheiratet,3550,Gemeinde
Wangen-Brüttisellen,Verwitwet,234,Gemeinde
Wangen-Brüttisellen,Geschieden,656,Gemeinde
Bezirk Winterthur,Ledig,73526,Bezirk
Bezirk Winterthur,Verheiratet,69386,Bezirk
Bezirk Winterthur,Verwitwet,7347,Bezirk
Bezirk Winterthur,Geschieden,13421,Bezirk
Altikon,Ledig,259,Gemeinde
Altikon,Verheiratet,326,Gemeinde
Altikon,Verwitwet,24,Gemeinde
Altikon,Geschieden,46,Gemeinde
Brütten,Ledig,826,Gemeinde
Brütten,Verheiratet,945,Gemeinde
Brütten,Verwitwet,81,Gemeinde
Brütten,Geschieden,164,Gemeinde
Dägerlen,Ledig,438,Gemeinde
Dägerlen,Verheiratet,493,Gemeinde
Dägerlen,Verwitwet,28,Gemeinde
Dägerlen,Geschieden,55,Gemeinde
Dättlikon,Ledig,302,Gemeinde
Dättlikon,Verheiratet,372,Gemeinde
Dättlikon,Verwitwet,30,Gemeinde
