hausnummer,latitude,longitude,name,ort,plz,strasse,typ
100,47.019457,8.311015,coop-supermarkt-horw,Horw,6048,Kantonsstrasse,retail
12,47.026556,8.298869,lumimart-kriens,Kriens,6010,Nidfeldstrasse,lumimart
2,47.029909,8.295542,interdiscount-kriens-pilatus,Kriens,6010,Nidfeldstrasse,id
16,47.034196,8.274112,coop-vitality-kriens-schappe-center,Kriens,6010,Obernauerstrasse,vitality
2,47.0344,8.273273,coop-supermarkt-kriens-schappe,Kriens,6010,Hobacherweg,retail
40,46.689562,7.877089,coop-bau-hobby-b-h-interlaken,Interlaken,3800,Untere Bönigstrasse,bh
4A,47.037888,8.179287,coop-supermarkt-malters-weihermatte,Malters,6102,Unterfeld,retail
40,46.6896,7.876567,toptip-interlaken,Interlaken-Ost,3800,Untere Bönigstrasse,toptip
4,47.038042,8.294225,pronto-kriens-langsaegestrasse,Kriens,6010,Langsägestrasse,pronto
20,47.037314,8.308542,coop-supermarkt-luzern-hubelmatt,Luzern,6005,Breitlachenstrasse,retail
5,46.690446,7.869148,coop-supermarkt-interlaken-bahnhof,Interlaken,3800,Untere Bönigstrasse,retail
10,46.689681,7.869247,coop-supermarkt-interlaken-ost,Interlaken,3800,Untere Bönigstrasse,retail
10,46.689681,7.869247,coop-restaurant-interlaken-ost,Interlaken,3800,Untere Bönigstrasse,restaurant
23,47.036893,8.328298,coop-supermarkt-luzern-schoenbuehl,Luzern,6005,Langensandstrasse,retail
15,46.680643,7.866234,coop-supermarkt-matten,Matten b. Interlaken,3800,Metzgergasse,retail
56,47.046393,8.307018,coop-supermarkt-luzern-winkelried,Luzern,6000,Winkelriedstrasse,retail
88,47.05104,8.271084,coop-supermarkt-littau,Littau,6014,Luzernerstrasse,retail
26,46.68535,7.855905,pronto-interlaken-zentrum,Interlaken,3800,Höheweg,pronto
15,47.048599,8.306685,coop-supermarkt-hirschmatt-luzern,Luzern,6003,Hirschmattstrasse,retail
2,46.684968,7.854674,christ-interlaken-christ,Interlaken,3800,Höheweg,christ
1,46.685203,7.854179,interdiscount-interlaken,Interlaken,3800,Höheweg,id
12,47.050025,8.307274,impo-luzern-seidenhof-ip,Luzern,6003,Seidenhofstrasse,impo
9,47.051151,8.299948,coop-supermarkt-luzern-kasernenplatz,Luzern,6003,Bruchstrasse,retail
1,46.6849,7.853575,coop-supermarkt-interlaken-post,Interlaken,3800,Marktgasse,retail
,47.050025,8.309696,interdiscount-luzern-bahnhof,Luzern,6003,Bahnhofshopping / Fach 3113,id
,47.050264,8.310173,coop-supermarkt-luzern-bahnhof,Luzern,6003,Bahnhof SBB,retail
1347,46.604973,7.922087,coop-supermarkt-wengen,Wengen,3823,Wengiboden,retail
8,47.051751,8.303933,christ-luzern-kramgasse-christ,Luzern,6004,Kramgasse,christ
35,46.683033,7.85245,impo-interlaken-ip,Interlaken,3800,Aarmühlestr.,impo
18-20,47.052138,8.30386,coop-restaurant-luzern,Luzern,6000,Rössligasse,restaurant
18-20,47.052138,8.303926,coop-supermarkt-city-luzern-food,Luzern,6000,Rössligasse,retail
18-20,47.052138,8.303926,coop-city-city-luzern,Luzern,6000,Rössligasse,city
20,47.052138,8.303926,impo-luzern-roessligasse-city-ip,Luzern,6004,Rössligasse,impo
15,47.052141,8.304676,impo-luzern-weinmarkt-ip,Luzern,6004,Weinmarkt,impo
,46.668946,8.586576,coop-supermarkt-goeschenen,Göschenen,6487,Breiti,retail
35,46.684724,7.849835,coop-supermarkt-unterseen,Unterseen,3800,Bahnhofstrasse,retail
19,46.678962,7.851373,pronto-interlaken-rugenpark,Interlaken,3800,Rugenparkstrasse,pronto
39,47.053899,8.307692,impo-luzern-hertensteinstrasse-ip,Luzern,6004,Hertensteinstrasse,impo
50,47.054115,8.307656,interdiscount-luzern-hertensteinstrasse,Luzern,6004,Hertensteinstrasse,id
19,47.059972,8.2859,pronto-reussbuehl,Reussbühl,6015,Hauptstrasse,pronto
9,47.056913,8.310045,coop-supermarkt-luzern-loewencenter,Luzern,6004,Zürichstrasse,retail
9,47.056913,8.310045,coop-restaurant-loewencenter-lu,Luzern,6004,Zürichstrasse,restaurant
6,47.046785,8.373958,coop-supermarkt-meggen,Meggen,6045,Dorfplatz,retail
1,47.061179,8.308574,coop-supermarkt-luzern-schlossberg,Luzern,6004,Maihofstrasse,retail
,46.598513,7.907164,coop-supermarkt-lauterbrunnen,Lauterbrunnen,3822,Bahnhofplatz,retail
101,47.067946,8.315319,pronto-ebikon,Ebikon,6006,Maihofstrasse,pronto
8-8E,47.05806,8.073329,coop-supermarkt-wolhusen,Wolhusen,6110,Bahnhofstrasse,retail
1,47.073261,8.290494,coop-supermarkt-emmen,Emmenbrücke,6020,Fichtenstrasse,retail
1,47.073261,8.290494,coop-restaurant-emmenbruecke,Emmenbrücke,6020,Fichtenstrasse,restaurant
1,47.074114,8.287032,impo-emmenbruecke-ip,Emmenbrücke,6020,Stauffacherstrasse,impo
1,47.07423,8.287099,christ-emmenbruecke-christ,Emmenbrücke,6020,Stauffacherstrasse,christ
50,47.073838,8.292715,livique-emmen-meierhoefli,Emmenbrücke,6020,Seetalstrasse,livique
44,47.074145,8.291364,pronto-emmenbruecke-seetalstr-,Emmenbrücke (LU),6020,Seetalstrasse,pronto
2,46.876285,8.631486,pronto-altdorf-bahnhof,Altdorf,6460,Bahnhofplatz,pronto
4,46.824318,8.649038,coop-supermarkt-erstfeld,Erstfeld,6472,Vordere Hofstatt,retail
29,47.061064,8.073417,pronto-wolhusen,Wolhusen,6110,Menznauerstrasse,pronto
30,46.634392,8.596199,coop-supermarkt-andermatt,Andermatt,6490,Gotthardstrasse,retail
143,46.488143,8.269315,coop-supermarkt-muenster,Münster,3985,Furkastrasse,retail
9a,46.855407,8.645029,coop-supermarkt-schattdorf-tellpark,Schattdorf,6467,Militärstrasse,retail
1,47.080659,8.271465,interdiscount-emmenbruecke,Emmenbrücke 3,6020,Stauffacherstrasse,id
4,47.080948,8.27139,coop-supermarkt-emmenbruecke-sprengi,Emmenbrücke,6020,Erlenstrasse,retail
24,47.084304,8.272535,pronto-emmenbruecke-rothenburgstr-,Emmenbrücke,6020,Rothenburgstrasse,pronto
3,47.07137,8.365052,coop-supermarkt-adligenswil,Adligenswil,6043,Im Zentrum,retail
4,46.882049,8.644656,interdiscount-altdorf,Altdorf,6460,Marktgasse,id
2,46.869559,8.650895,pronto-altdorf-schattdorf,Schattdorf,6467,Gotthardstrasse,pronto
3,46.880931,8.64572,coop-supermarkt-altdorf,Altdorf,6460,Hellgasse,retail
3,46.880931,8.64572,coop-restaurant-altdorf,Altdorf,6460,Hellgasse,restaurant
8,47.082623,8.126992,coop-supermarkt-ruswil,Ruswil,6017,Hellbühlerstrasse,retail
5,46.865606,8.654676,coop-supermarkt-schattdorf,Schattdorf,6467,Dorfstrasse,retail
,47.082636,8.343201,coop-supermarkt-ebikon,Ebikon,6030,Hofmatt,retail
3,47.093025,8.270669,coop-supermarkt-rothenburg,Rothenburg,6023,Grabenweg,retail
1032,46.559616,7.893721,coop-supermarkt-muerren,Mürren,3825,Borthalten,retail
,47.110439,8.233928,burger-burger-king-neuenkirch-west,Rothenburg,6023,A2 (Richtung Luzern),burger
,47.110702,8.233603,coop-hotel-marche-bistro-neuenkirch-wes,Rothenburg,6023,A2 (Richtung Luzern),hotel
,47.113045,8.231832,pronto-neuenkirch-ost-raststaette,Rothenburg,6023,LU Raststätte A2 / Neuenkirch Ost,pronto
,47.113242,8.233179,marche-marche-neuenkirch-ost,Rothenburg,6023,A2 (Richtung Basel),marche
14,47.082367,8.439596,coop-supermarkt-kuessnacht-am-rigi,Küssnacht am Rigi,6403,Bahnhofstrasse,retail
36/38,46.996614,8.60752,coop-supermarkt-brunnen,Brunnen,6440,Bahnhofstrasse,retail
80,47.10736,8.379587,pronto-root,Root,6037,Luzernstrasse,pronto
,47.124544,8.19398,coop-supermarkt-sempach,Sempach,6204,Luzernerstrasse,retail
46,46.999556,8.610214,pronto-brunnen-bahnhof,Brunnen,6440,Bahnhofstrasse,pronto
36A,46.94042,7.778992,pronto-langnau-i-e-,Langnau,3550,Sägestrasse,pronto
37,46.940413,7.778348,coop-bau-hobby-b-h-langnau-ilfiscenter,Langnau,3550,Sägestrasse,bh
37,46.940413,7.778348,interdiscount-langnau-i-e-,Langnau,3550,Sägestrasse,id
37,46.940431,7.778296,coop-supermarkt-langnau-ilfiscenter,Langnau,3550,Sägestrasse,retail
37,46.940431,7.778296,coop-restaurant-langnau,Langnau,3550,Sägestrasse,restaurant
37,46.940431,7.778296,coop-vitality-ilfis-center,Langnau,3550,Sägestrasse,vitality
37,46.940431,7.778296,impo-langnau-ip,Langnau,3550,Sägestrasse,impo
23,47.057246,8.53381,pronto-oberarth,Oberarth,6414,Gotthardstrasse,pronto
1,47.049198,8.549374,coop-supermarkt-goldau-bahnhof,Goldau,6410,Bahnhofstrasse,retail
5,47.050394,8.550307,coop-supermarkt-goldau,Goldau,6410,Centralstrasse,retail
17,47.117963,8.391937,coop-supermarkt-root,Root,6037,Bahnhofstrasse,retail
40,47.102418,8.450984,pronto-kuessnacht-am-rigi,Küssnacht am Rigi,6403,Zugerstrasse,pronto
19,46.717931,7.714075,coop-supermarkt-sigriswil,Sigriswil,3655,Dorfstrasse,retail
21,47.136841,8.132422,coop-supermarkt-nottwil-roesslipark,Nottwil,6207,Kantonsstrasse,retail
21,46.922559,7.728712,coop-supermarkt-signau,Signau,3534,Dorfstrasse,retail
62,46.528713,8.610768,coop-supermarkt-airolo,Airolo,6780,Via San Gottardo,retail
156,47.027954,8.631398,pronto-seewen-bahnhofstrasse,Seewen,6423,Bahnhofstrasse,pronto
7,47.032748,8.628031,coop-vitality-seewen,Seewen,6423,Steinbislin,vitality
7b,47.032765,8.628084,lumimart-seewen-seewenmarkt,Seewen,6423,Steinbislin,lumimart
,47.032772,8.628334,impo-seewen-ip,Seewen-Schwyz,6423,Steinbislin,impo
3,47.032679,8.628582,pronto-seewen-steinbislin,Seewen,6423,Steinbislin,pronto
7B,47.033085,8.628486,coop-bau-hobby-b-h-seewen-markt,Seewen,6423,Steinbislin,bh
7,47.033456,8.628244,coop-supermarkt-seewen-markt,Seewen,6423,Steinbislin,retail
7,47.033456,8.628244,coop-restaurant-seewen-markt,Seewen,6423,Steinbislin,restaurant
3,47.123483,7.99511,interdiscount-wilisau,Willisau,6130,Kreuzstrasse,id
7b,47.020128,8.64939,interdiscount-seewen-markt,Seewen SZ,6423,Steinbislin,id
2,47.020311,8.651657,coop-supermarkt-schwyz,Schwyz,6430,Oberer Steisteg,retail
,47.127368,7.997246,coop-supermarkt-willisau,Willisau,6130,Feldli,retail
,47.127368,7.997246,coop-restaurant-willisau,Willisau,6130,Feldli,restaurant
41A,47.128294,7.997309,pronto-willisau,Willisau,6130,Ettiswilerstrasse,pronto
8,47.140661,8.426829,coop-supermarkt-rotkreuz,Rotkreuz,6343,Luzernerstrasse,retail
4,47.165856,8.283619,coop-bau-hobby-b-h-hochdorf,Hochdorf,6280,Industriestrasse,bh
1,47.165566,8.289998,pronto-hochdorf,Hochdorf,6280,Urswilstrasse,pronto
29,46.688811,7.678958,interdiscount-spiez,Spiez,3700,Oberlandstrasse,id
21,46.401428,8.132984,coop-supermarkt-fiesch,Fiesch,3984,Furkastrasse,retail
48,47.168485,8.288251,interdiscount-hochdorf,Hochdorf,6280,Hauptstrasse,id
6,47.168761,8.288664,coop-supermarkt-hochdorf,Hochdorf,6280,Bellevuestrasse,retail
6,46.689447,7.675745,coop-supermarkt-spiez,Spiez,3700,Oberlandstrasse,retail
70,46.678859,8.771095,coop-supermarkt-sedrun,Sedrun,7188,Via Alpsu,retail
19,46.735925,7.658927,coop-supermarkt-hilterfingen,Hilterfingen,3652,Dorfstrasse,retail
15,46.396779,8.131286,pronto-fiesch,Fiesch,3984,Nagereija,pronto
2,47.147867,8.434122,pronto-rotkreuz,Rotkreuz,6343,Blegistrasse,pronto
50,46.684498,7.66792,pronto-spiez,Spiez,3700,Simmentalstrasse,pronto
38,46.629152,7.691346,pronto-reichenbach,Reichenbach im Kandertal,3713,Hauptstrasse,pronto
20,47.172784,8.103815,interdiscount-sursee,Sursee,6210,Bahnhofstrasse,id
26,47.173002,8.103356,coop-supermarkt-sursee-surseepark,Sursee,6210,Bahnhofstrasse,retail
17,46.625196,7.69057,coop-supermarkt-reichenbach,Reichenbach,3713,Hauptstrasse,retail
1,47.177894,8.125118,coop-bau-hobby-b-h-schenkon,Schenkon,6214,Zellgut,bh
,47.178165,8.126401,coop-supermarkt-schenkon,Schenkon,6214,Zellfeld,retail
,47.178165,8.126401,coop-restaurant-schenkon,Schenkon,6214,Zellfeld,restaurant
1,46.745714,7.64346,coop-supermarkt-huenibach,Hünibach,3626,Zedtwitzweg,retail
50,46.775758,7.633322,coop-supermarkt-steffisburg,Steffisburg,3612,Unterdorfstrasse,retail
1,46.760281,7.631133,pronto-thun-krankenhausstrasse,Thun,3600,Krankenhausstrasse,pronto
1,46.755298,7.630814,pronto-thun-am-bahnhof,Thun,3600,Panoramastrasse,pronto
1b,47.184682,8.111918,pronto-schenkon,Schenkon,6214,Grenzstrasse,pronto
2,46.754913,7.629687,coop-supermarkt-thun-bahnhof,Thun,3600,Seestrasse,retail
57,46.75782,7.628637,impo-thun-baelliz-57-ip,Thun,3600,Bälliz,impo
1,46.760584,7.62739,coop-supermarkt-city-thun-kyburg-food,Thun,3600,Schwäbisgasse,retail
1,46.760584,7.62739,coop-city-city-kyburg,Thun,3600,Schwäbisgasse,city
1,46.760584,7.62739,coop-restaurant-thun-kyburg,Thun,3600,Schwäbisgasse,restaurant
1,46.760584,7.62739,take-it-thun-city-kyburg-take-it,Thun,3600,Schwäbisgasse,takeit
1,46.760404,7.627259,impo-thun-kyburg-cc-ip,Thun,3600,Schwäbisgasse,impo
25,46.759208,7.627294,interdiscount-thun-baelliz,Thun,3600,Bälliz,id
2A,47.029373,7.744129,coop-supermarkt-sumiswald,Sumiswald,3454,Dorfgasse,retail
,46.387789,8.058708,coop-supermarkt-bettmeralp,Bettmeralp,3992,Haus Walliserhof,retail
71,46.743421,7.627383,pronto-thun-frutigenstrasse,Thun,3604,Frutigenstrasse,pronto
6,46.758934,7.624269,coop-supermarkt-thun-rexmax,Thun,3600,Gewerbestrasse,retail
27,46.74064,7.62261,coop-bau-hobby-b-h-thun-straettligen-markt,Thun,3604,Feldstrasse,bh
32,46.740524,7.621942,coop-supermarkt-thun-straettligen-markt,Thun,3604,Schulstrasse,retail
32,46.740524,7.621942,coop-restaurant-thun-straettligen-markt,Thun,3604,Schulstrasse,restaurant
1A,47.17547,8.426298,coop-supermarkt-huenenberg,Hünenberg,6331,Eichengasse,retail
38,46.760228,7.619247,pronto-thun-allmendstrasse,Thun,3600,Allmendstrasse,pronto
24b,47.113252,7.853295,pronto-huttwil,Huttwil,4950,Luzernstrasse,pronto
27,47.168992,7.992642,coop-supermarkt-schoetz,Schötz,6247,Luzernerstrasse,retail
11,46.67563,7.638006,coop-supermarkt-wimmis,Wimmis,3752,Hauptstrasse,retail
52,46.756461,7.617965,livique-thun-sued,Thun,3600,Mittlere Strasse,livique
18,46.753479,7.615115,coop-supermarkt-thun-schoenau,Thun,3600,Schönaustrasse,retail
16,46.837636,7.617685,coop-supermarkt-oberdiessbach,Oberdiessbach,3672,Bahnhofstrasse,retail
4C,46.906074,7.638847,coop-supermarkt-grosshoechstetten,Grosshöchstetten,3506,Dorfstrasse,retail
32,46.744348,7.615439,interdiscount-thun-straettligen-markt,Thun,3604,Schulstrasse,id
131,46.778311,7.612434,lumimart-heimberg,Heimberg,3627,Bernstrasse,lumimart
196,46.779714,7.612281,pronto-heimberg-bernstrasse,Heimberg,3627,Bernstrasse,pronto
33,47.113798,7.844024,coop-supermarkt-huttwil,Huttwil,4950,Bahnhofstrasse,retail
61,46.779818,7.608995,pronto-heimberg-center--automat-,Heimberg,3627,Blümlisalpstrasse,pronto
61,46.779818,7.608995,interdiscount-heimberg-center-xxl,Heimberg,3627,Blümlisalpstrasse,id
1,46.783426,7.608875,coop-supermarkt-heimberg-aarestrasse,Heimberg,3627,Aarestrasse,retail
61,46.779828,7.608261,coop-supermarkt-heimberg-center,Heimberg,3627,Blümlisalpstrasse,retail
61,46.779828,7.608261,coop-restaurant-heimberg-center,Heimberg,3627,Blümlisalpstrasse,restaurant
61,46.779828,7.608261,impo-thun-heimberg-ip,Heimberg,3627,Blümlisalpstrasse,impo
25,46.881236,7.624009,coop-supermarkt-konolfingen,Konolfingen,3510,Emmentalstrasse,retail
3,47.190778,8.395702,coop-supermarkt-sins,Sins,5643,Luzernstrasse,retail
31,46.909846,7.631996,pronto-grosshoechstetten,Grosshöchstetten,3506,Bernstrasse,pronto
4,47.208051,8.1905,coop-supermarkt-beromuenster,Beromünster,6215,Bahnhofstrasse,retail
 11,46.378344,8.033372,coop-supermarkt-riederalp,Riederalp,3987,Bahnhofstrasse,retail
45,46.764565,7.600595,coop-supermarkt-thun-lerchenfeld,Thun,3603,Lerchenfeldstrasse,retail
14,47.181448,8.461767,coop-supermarkt-cham-seehof,Cham,6330,Zuger-  Seehofstrasse,retail
15/17,47.181705,8.461205,interdiscount-cham,Cham,6330,Zugerstrasse,id
2,47.137766,8.581137,coop-supermarkt-unteraegeri-chilematt,Unterägeri,6314,Waldheimstrasse,retail
29,47.00532,7.684425,coop-supermarkt-luetzelflueh,Lützelflüh,3432,Dorfstrasse,retail
4,46.924757,7.628256,coop-supermarkt-biglen,Biglen,3507,Bahnhofstrasse,retail
1,46.700175,8.842145,coop-supermarkt-disentis,Disentis,7180,Via Acletta,retail
22,46.743488,7.594931,coop-supermarkt-allmendingen,Thun,3608,Allmendingenstrasse,retail
3,47.169052,8.515045,impo-zug-ip,Zug,6300,Schmidgasse,impo
11,47.171505,8.51433,coop-supermarkt-city-zug-food,Zug,6304,Bundesplatz,retail
11,47.171505,8.51433,coop-restaurant-zug,Zug,6304,Bundesplatz,restaurant
11,47.171439,8.514685,christ-zug-alpenstrasse-christ,Zug,6304,Bundesplatz,christ
11,47.171475,8.514646,impo-zug-city-ip,Zug,6300,Bundesplatz,impo
11,47.171614,8.514279,coop-city-city-zug,Zug,6304,Bundesplatz,city
6,47.171035,8.51647,coop-to-go-zug-neustadt-to-go,Zug,6300,Baarerstrasse,togo
6,47.171017,8.516536,coop-supermarkt-zug-neustadt,Zug,6300,Baarerstrasse,retail
6,47.171017,8.516536,coop-restaurant-zug-neustadt,Zug,6300,Baarerstrasse,restaurant
,47.173664,8.515336,coop-to-go-zug-bahnhof-to-go,Zug,6300,Bahnhofplatz,togo
,47.173664,8.515336,karma-shop-zug-bahnhof-karma,Zug,6300,Bahnhofplatz,karma
8,47.186403,8.476034,toptip-cham,Cham,6330,Hinterbergstrasse,toptip
8,47.186402,8.476086,coop-bau-hobby-b-h-cham,Cham,6330,Hinterbergstrasse,bh
6,47.186652,8.475313,pronto-cham,Cham,6330,Hinterbergstrasse,pronto
22,47.173243,8.517016,interdiscount-zug-metalli-xxl,Zug,6300,Baarerstrasse,id
,47.174165,8.515557,coop-supermarkt-zug-bahnhof,Zug,6300,Bahnhof SBB,retail
10,47.17792,8.505501,coop-supermarkt-zug-herti,Zug,6300,Hertizentrum,retail
15,47.134969,8.613164,coop-supermarkt-oberaegeri,Oberägeri,6315,Hauptstrasse,retail
13,47.223992,8.260124,coop-supermarkt-hitzkirch,Hitzkirch,6285,Bahnhofstrasse,retail
2,46.587277,7.647075,coop-supermarkt-frutigen,Frutigen,3714,Bälliz,retail
30,46.356726,8.047037,coop-supermarkt-moerel-filet,Mörel,3983,Furkastrasse,retail
40,47.191604,8.47785,christ-steinhausen-zugerland-christ,Steinhausen,6312,Hinterbergstr.,christ
11,46.774758,7.572292,coop-supermarkt-uetendorf,Uetendorf,3661,Dorfstrasse,retail
64,47.184909,8.520101,pronto-baar-zugerstrasse,Baar,6340,Zugerstrasse,pronto
7,47.196948,8.483734,coop-supermarkt-steinhausen,Steinhausen,6312,Bahnhofstrasse,retail
26,47.017953,7.660414,coop-supermarkt-hasle-rueegsau,Hasle-Rüegsau,3415,Rüegsaustrasse,retail
29,47.21009,7.985135,pronto-dagmersellen,Dagmersellen,6252,Altishoferstrasse,pronto
6,47.212089,7.990303,coop-supermarkt-dagmersellen,Dagmersellen,6252,Luzernstrasse,retail
13,47.195174,8.523793,interdiscount-baar,Baar,6340,Bahnhofstrasse,id
3,47.195218,8.52386,coop-supermarkt-baar-gotthard,Baar,6340,Poststrasse,retail
3,47.195227,8.523926,coop-restaurant-baar-gotthard,Baar,6340,Poststrasse,restaurant
22,46.869705,7.563084,pronto-muensingen,Münsingen,3110,Thunstrasse,pronto
6,46.874517,7.563436,coop-supermarkt-muensingen,Münsingen,3110,Dorfplatz,retail
6A,47.195909,8.529747,coop-supermarkt-baar-oberdorf,Baar,6340,Oberdorfstrasse,retail
14,47.246055,8.184932,pronto-menziken,Menziken,5737,Hauptstrasse,pronto
2,46.87042,7.559242,toptip-muensingen,Münsingen,3110,Erlenauweg,toptip
16,46.87078,7.559125,coop-bau-hobby-b-h-muensingen,Münsingen,3110,Industriestrasse,bh
9,46.874405,7.559278,interdiscount-muensingen,Münsingen,3110,Alte Bahnhofstrasse,id
75,47.237696,8.074471,coop-supermarkt-triengen,Triengen,6234,Kantonsstrasse,retail
1,47.178778,8.588306,coop-supermarkt-menzingen,Menzingen,6313,Carmelweg,retail
10,47.25163,8.182447,coop-supermarkt-reinach-ag,Reinach,5734,Obere Stumpenbachstrasse,retail
10,47.25163,8.182447,coop-restaurant-reinach-ag,Reinach,5734,Obere Stumpenbachstrasse,restaurant
10,47.25164,8.182421,interdiscount-reinach-ag,Reinach,5734,Obere Stumpenbachstrasse,id
10,47.201623,8.540937,coop-restaurant-baar-delfin,Baar,6340,Lättichstrasse,restaurant
274,46.494851,7.673109,coop-supermarkt-kandersteg,Kandersteg,3718,Bahnhofstrasse,retail
4,46.928923,7.561448,coop-supermarkt-worb,Worb,3076,Bärenplatz,retail
4,46.928923,7.561448,coop-restaurant-worb,Worb,3076,Bärenplatz,restaurant
124,47.034395,7.630919,pronto-oberburg,Oberburg,3414,Emmentalstrasse,pronto
35,47.036959,7.630797,coop-supermarkt-oberburg,Oberburg,3414,Progressastrasse,retail
49,47.035935,7.629648,coop-bau-hobby-b-h-oberburg,Oberburg,3414,Emmentalstrasse,bh
30,46.934143,7.559346,pronto-worb,Worb,3076,Bollstrasse,pronto
4,46.891594,7.541628,pronto-rubigen,Rubigen,3113,Alte Belpstrasse,pronto
2,47.166021,7.798455,coop-supermarkt-madiswil,Madiswil,4934,Unterdorfstrasse,retail
7,47.264327,8.177563,coop-bau-hobby-b-h-reinach-ag,Reinach,5734,Europastrasse,bh
68,47.265448,8.176627,pronto-reinach,Reinach,5734,Aarauerstrasse,pronto
20,46.322855,7.989383,coop-supermarkt-naters,Naters,3904,Furkastrasse,retail
14,47.056822,7.629367,coop-supermarkt-burgdorf-schuetzenmatte,Burgdorf,3400,Sägegasse,retail
14,47.056822,7.629367,coop-restaurant-burgdorf-schuetzenmatte,Burgdorf,3400,Sägegasse,restaurant
4,46.769237,7.509163,coop-supermarkt-wattenwil,Wattenwil,3665,Blumensteinstrasse,retail
2,46.318685,7.988627,coop-supermarkt-brig-zentrum-post,Brig,3900,Nordstrasse,retail
4,46.318211,7.988012,interdiscount-brig,Brig,3900,Bahnhofstrasse,id
9,46.317625,7.988317,impo-brig-ip,Brig,3900,Bahnhofstrasse,impo
11,46.317229,7.9883,christ-brig-christ,Brig,3900,Bahnhofstrasse,christ
152,47.215806,8.573642,pronto-baar-sihlbruggstrasse,Baar,6340,Sihlbruggstrasse,pronto
33,47.271305,8.343184,pronto-muri,Muri,5630,Luzernerstrasse,pronto
7,47.059064,7.622847,coop-supermarkt-burgdorf-stadt,Burgdorf,3400,Bahnhofstrasse,retail
2,47.126882,8.745705,coop-supermarkt-einsiedeln,Einsiedeln,8840,Schwanenstrasse,retail
1,47.272664,8.340763,coop-supermarkt-muri-ag,Muri,5630,Seetalstrasse,retail
1,47.272664,8.340763,coop-restaurant-muri-ag,Muri,5630,Seetalstrasse,restaurant
1,47.272664,8.340763,coop-vitality-muripark,Muri,5630,Seetalstrasse,vitality
23,47.058885,7.621846,interdiscount-burgdorf,Burgdorf,3400,Lyssachstrasse,id
63,47.248098,7.970623,coop-supermarkt-reiden,Reiden,6260,Hauptstrasse,retail
13,46.315113,7.986812,coop-supermarkt-brig,Brig,3902,Gliserallee,retail
21-23,47.058912,7.62178,impo-burgdorf-ip,Burgdorf,3400,Lyssachstrasse,impo
44,47.06064,7.621641,coop-supermarkt-burgdorf-take-it,Burgdorf,3400,Bahnhofstrasse,retail
44,47.06064,7.621641,coop-supermarkt-burgdorf-bahnhof,Burgdorf,3400,Bahnhofstrasse,retail
216,46.930922,7.530358,coop-supermarkt-ruefenacht,Rüfenacht,3075,Alte Bernstrasse,retail
