Rubrik,Name,Bank,Vorname,Strasse + Nr,PLZ,Ort,Telefon 1
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Poststr. 54,9478,Azmoos,081 783 10 11
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Dorfstr. 13,6340,Baar,* 041 727 94 94
Bank Sparkasse:,Raiffeisenbank Zug Genossenschaft,Raiffeisenbank Zug Genossenschaft,,Rathausstr. 10,6340,Baar,041 766 01 30
Bank Sparkasse:,Raiffeisen Unternehmerzentrum AG,Raiffeisen Unternehmerzentrum,,Sihlbruggstr. 3,6340,Baar,041 552 14 14
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Rathausstr. 7,6340,Baar,* 041 767 70 10
Bank Sparkasse:,Zuger Kantonalbank,Zuger Kantonalbank,,Dorfstr. 2,6340,Baar,041 709 11 11
Bank Sparkasse:,Bank Linth LLB AG,Bank Linth LLB,,Am Platz,7310,Bad Ragaz,* 0844 11 44 11
Bank Sparkasse:,Raiffeisenbank Sarganserland,Raiffeisenbank Sarganserland,,Maienfelderstr. 6,7310,Bad Ragaz,081 725 38 38
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Bartholomépl. 1,7310,Bad Ragaz,* 081 303 42 00
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Am Platz 8,7310,Bad Ragaz,* 081 303 48 00
,Bank Linth LLB AG,Bank Linth LLB,,Am Platz 6,7310,Bad Ragaz,* 081 300 45 11
Bank Sparkasse:,Neue Aargauer Bank AG,Neue Aargauer Bank,,Hauptstr. 48,5330,Bad Zurzach,* 056 269 67 67
Bank Sparkasse:,Raiffeisenbank Aare-Rhein Genossenschaft,RAIFFEISENBANK Aare-Rhein Genossenschaft,,Baslerstr. 2A,5330,Bad Zurzach,* 056 265 16 40
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Hauptstr. 55,5330,Bad Zurzach,* 056 269 68 11
,Neue Aargauer Bank AG,Neue Aargauer Bank,,Hauptstr. 48,5330,Bad Zurzach,* 056 269 67 67
Autoleasing:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
Autoleasing:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
Bank Sparkasse:,Aargauische Kantonalbank,Aargauische Kantonalbank,,Bahnhofpl. 2,5400,Baden,* 056 556 66 01
Bank Sparkasse:,Argoviesion AG für unabhängige Versicherungsanalysen und Finanzp,Argoviesion für unabhängige Versicherungsanalysen und Finanzp,,Nordhaus 3,5400,Baden,056 200 88 99
Bank Sparkasse:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
Bank Sparkasse:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Badstr. 11,5400,Baden,* 056 200 26 00
Bank Sparkasse:,family-net.ch,family-net.ch,,Bahnhofstr. 42,5400,Baden,* 056 203 33 31
Bank Sparkasse:,Migros Bank,Migros Bank,,Badstr. 8,5400,Baden,* 0848 84 54 00
Bank Sparkasse:,Neue Aargauer Bank AG,Neue Aargauer Bank,,Bahnhofpl. 1,5400,Baden,* 056 204 11 11
Bank Sparkasse:,Raiffeisenbank Lägern-Baregg Genossenschaft,Raiffeisenbank Lägern-Baregg Genossenschaft,,Stadtturmstr. 5,5400,Baden,056 437 47 47
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Badstr. 12,5400,Baden,* 056 200 61 11
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Theaterpl. 2,5400,Baden,* 056 204 20 80
Bankdienstleistung:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
Finanzierungen:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
Finanzierungen:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
Kreditinstitute:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
Kreditinstitute:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
Leasing:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
Leasing:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
,Migros Bank,Migros Bank,,Badstr. 8,5400,Baden,* 0848 84 54 00
,Neue Aargauer Bank AG,Neue Aargauer Bank,,Bahnhofpl. 1,5400,Baden,* 056 204 11 11
Privatkredit:,BANK-now AG Baden,BANK-now Baden,,Bahnhofpl. 1,5400,Baden,058 900 63 80
Privatkredit:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 14,5400,Baden,056 200 15 30
,Valiant Bank AG,Valiant Bank,,Theaterpl. 2,5400,Baden,* 056 204 20 80
,Alpha RHEINTAL Bank AG,Alpha RHEINTAL Bank,,Turnhallestr. 1,9436,Balgach,* 071 747 95 95
Bank Sparkasse:,Alpha RHEINTAL Bank AG,Alpha RHEINTAL Bank,,Turnhallestr. 1,9436,Balgach,* 071 747 95 95
Bank Sparkasse:,Raiffeisenbank Mittelrheintal Genossenschaft,Raiffeisenbank Mittelrheintal Genossenschaft,,Hauptstr. 40a,9436,Balgach,071 727 15 85
,Baloise Bank SoBa AG,Baloise Bank SoBa,,Herrengasse 10,4710,Balsthal,058 285 33 33
Bank Sparkasse:,Baloise Bank SoBa AG,Baloise Bank SoBa,,Herrengasse 10,4710,Balsthal,058 285 33 33
Bank Sparkasse:,Clientis Bank im Thal AG,Clientis Bank im Thal,,Goldgasse 11,4710,Balsthal,062 386 26 26
Bank Sparkasse:,Raiffeisenbank Balsthal-Laupersdorf Genossenschaft,Raiffeisenbank Balsthal-Laupersdorf Genossenschaft,,Goldgasse 16,4710,Balsthal,062 386 10 10
,Clientis Bank im Thal AG,Clientis Bank im Thal,,Goldgasse 11,4710,Balsthal,062 386 26 26
Bank Sparkasse:,Raiffeisenbank Region Visp Genossenschaft,Raiffeisenbank Region Visp Genossenschaft,,,3937,Baltschieder,027 945 60 20
Bank Sparkasse:,Bank Frick  Co. AG,Bank Frick  Co.,,Landstr. 14,9496,Balzers,00423 388 21 21
Bank Sparkasse:,Liechtensteinische Landesbank AG,Liechtensteinische Landesbank,,Höfle 5,9496,Balzers,* 00423 388 22 11
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Bahnhofstr. 16,8344,Bäretswil,* 0844 84 38 23
Asset Management:,Bank Julius Bär  Co AG,Bank Julius Bär,,Freie Strasse 107,4051,Basel,* 058 889 44 00
Autoleasing:,BANK-now AG Basel,BANK-now Basel,,Clarastr. 15,4058,Basel,058 900 60 40
Autoleasing:,Cembra Money Bank AG,Cembra Money Bank,,Freie Strasse 39,4001,Basel,061 269 25 80
,Baloise Bank SoBa AG,Baloise Bank SoBa,,Aeschengraben 25,4051,Basel,058 285 33 33
Bank Sparkasse:,A  U Kaderberatung AG,A  U Kaderberatung,,Picassopl. 4,4052,Basel,* 061 227 98 88
Bank Sparkasse:,Baloise Bank SoBa AG,Baloise Bank SoBa,,Aeschengraben 25,4051,Basel,058 285 33 33
Bank Sparkasse:,Banca Popolare di Sondrio (Suisse) SA,Banca Popolare di Sondrio (Suisse) SA,,Greifengasse 18,4058,Basel,* 058 855 39 00
Bank Sparkasse:,Bank CIC (Schweiz) AG,Bank CIC (Schweiz),,Marktpl. 11-13,4001,Basel,061 264 12 00
Bank Sparkasse:,Bank J. Safra Sarasin AG,Bank J. Safra Sarasin,,Elisabethenstr. 62,4051,Basel,* 058 317 44 44
Bank Sparkasse:,Bank Julius Bär  Co AG,Bank Julius Bär,,Freie Strasse 107,4051,Basel,* 058 889 44 00
Bank Sparkasse:,BANK-now AG Basel,BANK-now Basel,,Clarastr. 15,4058,Basel,058 900 60 40
Bank Sparkasse:,Bank Thaler AG,Bank Thaler,,Gerbergasse 1,4001,Basel,* 061 260 31 31
Bank Sparkasse:,Bank Vontobel AG,Bank Vontobel,,St. Alban-Anlage 58,4052,Basel,* 058 283 21 11
Bank Sparkasse:,BNP PARIBAS (Suisse) SA,BNP PARIBAS (Suisse) SA,,Aeschengraben 26,4051,Basel,* 058 212 51 11
Bank Sparkasse:,Cembra Money Bank AG,Cembra Money Bank,,Freie Strasse 39,4001,Basel,061 269 25 80
Bank Sparkasse:,COMMERZBANK AG,COMMERZBANK,,Hirschgässlein 19,4051,Basel,* 061 204 49 00
Bank Sparkasse:,Crédit Agricole Financements (Suisse) SA,Crédit Agricole Financements (Suisse) SA,,St. Alban-Anlage 70,4052,Basel,* 061 284 28 28
Bank Sparkasse: CREDIT SUISSE AG:,St. Alban-Graben,St. Alban-Graben,,St. Alban-Graben 1-3,4051,Basel,* 061 266 77 11
Bank Sparkasse: CREDIT SUISSE AG:,Claraplatz,Claraplatz,,Untere Rebgasse 7,4058,Basel,* 061 266 72 11
Bank Sparkasse: CREDIT SUISSE AG:,Spalenberg,Spalenberg,,Spalenberg 65,4051,Basel,* 061 277 88 11
Bank Sparkasse:,"Dreyfus Söhne  Cie AG, Banquiers","Dreyfus Söhne  Cie, Banquiers",,Aeschenvorstadt 16,4051,Basel,* 061 286 66 66
Bank Sparkasse:,family-net.ch,family-net.ch,,Aeschengraben 9,4051,Basel,* 061 266 62 24
Bank Sparkasse:,Freie Gemeinschaftsbank,Freie Gemeinschaftsbank,,Gerbergasse 30,4001,Basel,* 061 575 81 00
Bank Sparkasse:,GB GestionBâle SA,GB GestionBâle SA,,Rittergasse 33,4051,Basel,* 061 225 91 81
Bank Sparkasse:,"Gutzwiller E.  Cie, Banquiers","E .Gutzwiller  Cie, Banquiers",,Kaufhausgasse 7,4051,Basel,061 205 21 00
Bank Sparkasse:,Hottinger  Co. AG,Hottinger  Co.,,Hardstr. 1,4052,Basel,061 378 10 10
Bank Sparkasse:,LGT Bank (Schweiz) AG,LGT Bank (Schweiz),,Lange Gasse 15,4052,Basel,061 277 56 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Güterstr. 180,4053,Basel,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Aeschenvorstadt 72,4051,Basel,* 0848 84 54 00
Bank Sparkasse:,Raiffeisen Schweiz Genossenschaft,Raiffeisen Schweiz Genossenschaft,,St. Jakobs-Strasse 7,4052,Basel,061 226 27 28
Bank Sparkasse:,Sallfort Privatbank AG,Sallfort Privatbank,,Dufourstr. 25,4052,Basel,061 225 96 36
Bank Sparkasse:,Trafina Privatbank AG,Trafina Privatbank,,Rennweg 50,4052,Basel,061 317 17 17
Bank Sparkasse:,UBS AG Aeschenvorstadt,UBS Aeschenvorstadt,,Aeschenvorstadt 1,4051,Basel,* 061 288 50 50
Bank Sparkasse:,UBS Switzerland AG Ahornhof,UBS Switzerland Ahornhof,,Türkheimerstr.,4055,Basel,* 061 306 73 73
Bank Sparkasse:,UBS Switzerland AG Gellert,UBS Switzerland Gellert,,St. Alban-Ring 210,4052,Basel,* 061 378 41 41
Bank Sparkasse:,UBS Switzerland AG - Hauptsitz Basel,UBS Switzerland - Hauptsitz Basel,,Aeschenvorstadt 1,4051,Basel,* 061 288 20 20
Bank Sparkasse:,UBS Switzerland AG Kleinbasel,UBS Switzerland Kleinbasel,,Clarapl. 2,4058,Basel,* 061 695 20 20
Bank Sparkasse:,UBS Switzerland AG Lysbüchel,UBS Switzerland Lysbüchel,,Elsässerstr. 256,4056,Basel,* 061 327 43 43
Bank Sparkasse:,UBS Switzerland AG Marktplatz,UBS Switzerland Marktplatz,,Marktpl. 17,4001,Basel,* 061 288 89 00
Bank Sparkasse:,UBS Switzerland AG Neubad,UBS Switzerland Neubad,,Neubadstr. 146,4054,Basel,* 061 306 58 58
Bank Sparkasse:,UBS Switzerland AG Novartis Campus,UBS Switzerland Novartis Campus,,Fabrikstr. 16,4056,Basel,* 061 288 87 00
